Data_Value,Gender
10.9,2
23.4,2
16.9,2
19.8,2
22.2,2
15.3,2
19,2
14.7,2
19.6,2
28.3,2
14.6,2
23.9,2
28.8,2
10.5,2
13.7,2
20.7,2
12.4,2
20.4,2
14.7,2
21,2
13.8,2
21.8,2
28.1,2
28.3,2
25,2
13.2,2
20.1,2
18.5,2
29.7,2
16.3,2
20.4,2
11.7,2
19.4,2
22.5,2
17,2
19.2,2
27.5,2
26.7,2
14.8,2
28.4,2
11.5,2
20.7,2
19.7,2
24.1,2
16.5,2
30.8,2
12.6,2
24.8,2
27.2,2
25.9,2
22.2,2
10.9,2
20.9,2
22.7,2
13.7,2
20.3,2
33.1,1
33.1,1
29.2,2
27.4,2
18.9,2
21.9,2
13.4,2
19.7,2
30,1
30,1
19.4,2
23.4,2
9.6,2
24.4,2
28.3,1
28.3,1
18,2
15.8,2
10.4,2
36.6,2
16,2
26.3,2
21.6,2
25.3,2
22,2
19.5,2
14.2,2
13.6,2
13,2
20.7,2
21.1,2
19.8,2
14.6,2
13.6,2
15.4,2
17.2,2
16.6,2
21.8,2
22.6,2
23,2
17.9,2
32.5,1
32.5,1
16.3,2
24.8,2
22.5,2
22.5,2
17.6,2
25.7,2
13,2
19.6,2
24.1,2
18.4,2
20.4,2
19.3,2
20.6,2
18.2,2
16.3,2
24.1,2
19.9,2
21.5,2
18.8,2
30.4,1
30.4,1
15.4,2
20.3,2
14.7,2
18.5,2
14.1,2
20.6,2
14.8,2
23.7,2
21.6,2
18.2,2
35.8,1
35.8,1
13.5,2
15.1,2
19.5,2
16.7,2
24.5,2
15.9,2
38.4,2
19.1,2
15.5,2
18.9,2
17.4,2
15.6,2
23.8,2
20.2,2
21.2,2
6.6,2
20.1,2
17,2
15,2
17,2
22.6,2
35.8,2
15.7,2
25.3,2
22.3,2
22.3,2
31,1
31,1
15.2,2
15.2,2
21.3,2
22.7,2
20.4,2
20.4,2
18,2
23.1,2
23.2,2
19,2
14.5,2
22.4,2
13.5,2
19.4,2
18.3,2
32.4,2
21.9,2
20.8,2
15.5,2
33.6,2
17.2,2
17.4,2
15.5,2
22.6,2
21.7,2
21,2
12.5,2
19.9,2
16.6,2
19.2,2
20.2,2
11.7,2
18.6,2
14.7,2
18.5,2
24.3,2
23.1,2
17.6,2
11.8,2
20.1,2
25.4,2
28.6,2
17.6,2
19.5,2
34.6,2
27.5,2
19.8,2
21.9,2
18.5,2
24.4,2
24.5,2
19.7,2
19.3,2
11.8,2
24.2,2
11.8,2
24,2
26.8,2
21.9,2
11.6,2
34.3,1
34.3,1
22.4,2
20.6,2
20.9,2
25.4,2
17.1,2
22.7,2
22.7,2
19.7,2
13.4,2
13.3,2
6.5,2
25.2,2
17.7,2
15.1,2
18.1,2
8.5,2
25.4,2
12.7,2
24,2
25.1,2
25.1,2
20.5,2
9.2,2
30.9,2
23.6,2
13.8,2
18.1,2
15.7,2
23,2
22.9,2
24.3,2
24.2,2
17.1,2
23,2
13.6,2
18.4,2
14.6,2
22.8,2
7.8,2
26.4,2
15.7,2
20.5,2
20.5,2
18.2,2
12.3,2
12.7,2
17.1,2
11.3,2
17.8,2
29.4,2
8.5,2
19.1,2
12.2,2
14.2,2
20.5,1
20.5,1
13.5,2
21.5,2
19.5,2
24.3,2
21.9,2
27.5,2
24.6,2
18.9,2
17.8,2
24.3,2
22.9,2
30.3,2
30.7,2
24.9,2
14.9,2
15.2,2
15,2
25.5,2
24.3,2
13.9,2
18.2,2
23.1,2
26.3,2
28.4,2
16.8,2
25,2
21.2,1
21.2,1
16.4,2
24.1,2
17.7,2
15.3,2
24.2,2
24.2,2
14.9,2
15.5,2
10.4,2
17.3,2
17.3,2
23.9,2
20.8,1
20.8,1
27.3,2
23,2
17.8,2
19,2
18.5,2
11.8,2
10.6,2
11.7,2
21,2
29.3,2
18.2,2
22.5,2
16.6,2
19.5,2
12.1,2
26,2
14.5,1
14.5,1
25.2,2
12.4,2
26.2,2
24.6,2
19.4,2
28.6,2
17.5,2
12.7,2
25.4,2
22.5,2
23.2,1
23.2,1
30.6,2
29.1,2
19.2,2
17.2,2
20.5,2
29.1,2
17.3,1
17.3,1
24.2,1
24.2,1
22.5,2
22.5,2
16.6,2
16.6,2
15.8,1
22.6,1
15.8,1
22.6,1
8.3,2
12.2,2
15.4,2
18.4,1
18.4,1
11.7,2
11.7,2
18.6,2
17.7,1
17.7,1
22.1,2
19.6,2
11.1,2
16.4,2
20.2,1
20.2,1
30.8,2
17.8,1
17.8,1
20.1,2
17.1,2
17.1,2
16.6,2
23.9,2
17.4,2
23.1,2
18.1,2
19.4,1
19.4,1
22.9,1
22.9,1
18.6,2
22.5,2
32.2,2
19.6,1
19.6,1
14,2
14,2
11.6,2
13.1,2
14.6,2
14.6,2
28.4,2
20.9,1
20.9,1
23.5,1
19.3,1
19.3,1
23.5,1
28.9,1
28.9,1
16.9,1
16.9,1
9.8,2
24.7,1
24.7,1
20,1
20,1
25.1,1
25.1,1
8.1,2
32.7,2
20.8,2
18.7,2
16.2,2
19,1
19,1
27.3,1
27.3,1
13,2
15.4,2
29.9,2
21.5,2
17.9,1
17.9,1
15.9,1
15.9,1
15.4,2
26,1
26,1
18,2
10.7,2
26.2,1
26.2,1
20.4,2
17,2
13.6,2
13.6,2
22.8,1
22.8,1
25.5,1
25.5,1
26.3,2
21.9,2
26.9,2
24.8,1
24.8,1
12.6,2
15.5,2
14,1
14,1
27.8,1
27.8,1
27.3,2
15.1,1
15.1,1
12,2
23.4,1
23.4,1
13.3,2
23.6,2
14.9,2
14.7,2
25.5,1
25.5,1
13.7,2
10.7,2
13.3,2
23,2
23,2
25.4,1
25.4,1
21.3,1
21.3,1
18.8,1
18.8,1
23.9,1
23.9,1
19.5,2
24.3,1
18.9,1
24.3,1
18.9,1
19.3,2
27.5,1
27.5,1
18.5,2
18.5,2
22.2,1
22.2,1
16.9,2
24.8,1
24.8,1
12.4,2
14.6,1
14.6,1
26.7,1
26.7,1
19.9,1
19.9,1
22.1,1
22.1,1
19.2,2
26.8,1
26.8,1
20.7,1
20.7,1
19.9,1
19.9,1
26.2,2
22,1
22,1
19,1
19,1
15.8,2
15.8,2
18.7,1
18.7,1
11.9,2
19.7,2
8.1,2
8,2
27,1
27,1
7.6,2
22.4,2
31.5,1
31.5,1
14.4,2
22.9,1
22.9,1
25.7,1
25.7,1
18.7,1
18.7,1
18.8,1
18.8,1
13.7,2
13.7,2
18.7,1
18.7,1
20.3,1
20.3,1
21.2,1
21.2,1
17.8,2
19.2,1
19.2,1
18.2,1
18.2,1
23.6,1
23.6,1
14.7,1
6.6,2
14.7,1
16.4,1
16.4,1
22.8,1
22.8,1
13.1,2
22.2,1
22.2,1
13.6,1
13.6,1
7.8,2
15.7,1
15.7,1
16.7,2
20.6,1
20.6,1
16.9,1
16.9,1
25.1,1
15.5,1
25.1,1
15.5,1
11.3,2
11.3,2
16.1,2
16.4,2
16.4,2
16.4,1
16.4,1
21.9,1
21.9,1
7.4,2
21.3,1
21.3,1
22.7,1
22.7,1
20.6,2
16.2,2
16.2,2
12.1,2
12.1,2
24.2,1
24.2,1
20.6,1
20.6,1
23.5,1
23.5,1
21.1,1
21.1,1
24.2,1
24.2,1
12.8,2
21.5,1
21.5,1
18.3,1
18.3,1
14.4,2
16.7,2
16.9,2
17,2
17,2
22.8,1
22.8,1
25.6,1
25.6,1
18.2,1
18.2,1
14.2,2
17.6,1
14.2,2
17.6,1
18.1,1
18.1,1
18,1
18,1
28.7,1
28.7,1
17.9,1
17.9,1
12.6,2
12.6,2
23.2,1
23.2,1
16.1,2
16.1,2
18.1,1
21.4,1
21.4,1
18.1,1
17.2,1
17.2,1
18.8,2
18.8,2
14.6,2
14.6,2
21.2,1
21.2,1
16.3,1
16.3,1
25.1,1
25.1,1
14.1,2
14.1,2
16.6,1
16.6,1
19.4,1
19.4,1
18.4,2
18.4,2
16.8,1
16.8,1
8.1,2
7.4,2
18.4,2
18.4,2
18.7,1
18.7,1
14.9,1
14.9,1
17.3,1
17.3,1
12.7,2
22.2,2
22.2,2
19.5,1
19.5,1
16,2
18.8,1
18.8,1
17.6,2
17.6,2
19.4,1
19.4,1
24.3,1
24.3,1
13.5,2
13.5,2
27.2,1
27.2,1
20.8,1
20.8,1
21.1,1
21.1,1
14.6,1
14.6,1
19.8,1
16,2
19.8,1
20.7,1
20.7,1
28.6,1
28.6,1
18.9,1
18.9,1
18.5,1
18.5,1
18.4,1
18.4,1
20.8,2
19.1,1
19.1,1
14.9,2
14.9,2
18.8,2
14.2,2
16.6,2
16.6,2
16,1
16,1
20.9,1
20.9,1
26.4,1
26.4,1
21.9,1
21.9,1
21.4,1
21.4,1
27.6,1
27.6,1
19.1,2
19.1,2
18.2,1
18.2,1
18.7,1
18.7,1
21,1
21,1
19.4,1
19.4,1
17.1,1
17.1,1
23.9,1
23.9,1
24.6,1
24.6,1
28,1
28,1
10.5,2
22.3,1
22.3,1
20.4,1
20.4,1
14.6,2
14.6,2
22.1,1
22.1,1
17.2,2
21.1,1
21.1,1
27.8,1
27.8,1
15.7,2
16.5,2
13,2
13,2
21.2,1
21.2,1
9.3,2
23.4,1
23.4,1
19,1
19,1
26.2,1
26.2,1
22.7,2
22.7,2
13.1,2
13.1,2
20.5,1
20.5,1
28,1
28,1
21,1
15.4,1
15.4,1
21,1
19.5,1
19.5,1
17,2
21.3,1
21.3,1
17.9,1
17.9,1
19.3,1
19.3,1
25.7,1
19.8,1
25.7,1
19.8,1
21,2
15,2
15.4,2
15.4,2
21.3,1
21.3,1
21,2
21,2
16.7,1
16.7,1
15.5,2
15.5,2
15.4,2
15.4,2
19.8,1
19.8,1
12.1,2
12.1,2
17.5,1
17.5,1
24,1
24,1
11,2
17,1
17,1
19.8,2
19.8,2
23.3,1
23.3,1
18.8,2
18.8,2
24.3,1
24.3,1
27.3,1
27.3,1
21.4,1
21.4,1
19.1,1
19.1,1
18.3,2
18.3,2
16.2,2
16.2,2
17.3,2
17.3,2
20.1,1
20.1,1
24.8,2
24.8,2
17.8,1
17.8,1
21.9,1
21.9,1
14.5,2
14.5,2
22.3,2
6.4,2
20.6,1
6.4,2
20.6,1
10.8,2
19.3,2
19.3,2
18.5,1
18.5,1
21.9,1
21.9,1
16.4,2
16.4,2
18,1
18,1
17.1,2
17.1,2
16.5,1
16.5,1
14.9,2
17,1
14.9,2
17,1
19.5,1
19.5,1
24.2,1
24.2,1
14.4,2
14.4,2
14.7,1
14.7,1
21.8,1
21.8,1
14.7,2
14.7,2
26.1,2
18.1,2
18.1,2
16.3,2
16.3,2
15.8,2
15.8,2
17.1,2
17.1,2
19.8,1
19.8,1
14.2,2
14.2,2
20.7,1
20.7,1
17.4,1
17.4,1
12.8,2
12.8,2
22.1,2
22.1,2
22.6,1
22.6,1
19.6,1
19.6,1
28.6,1
28.6,1
19.5,1
19.5,1
23.8,1
23.8,1
17.2,2
17.2,2
21.6,1
21.6,1
18.3,2
18.3,2
20.8,1
20.8,1
6.5,2
6.5,2
19.7,1
19.7,1
19.5,2
19.5,2
13.8,2
13.8,2
14.3,2
14.3,2
21.9,1
21.9,1
24.5,1
24.5,1
22.1,1
22.1,1
15.2,1
15.2,1
19.7,1
19.7,1
17.3,1
17.3,1
23.6,1
23.6,1
14.8,1
14.8,1
19.5,2
14.4,2
14.4,2
22.2,1
22.2,1
23.5,1
23.5,1
18.7,1
18.7,1
17.1,2
17.1,2
25.2,2
25.2,2
15,2
15,2
26.4,1
26.4,1
17.3,2
17.3,2
14.8,2
14.8,2
20.1,1
20.1,1
16.8,2
16.8,2
15.9,2
15.9,2
26.9,2
26.9,2
23.3,1
23.3,1
21.3,2
21.3,2
15.3,2
15.3,2
19.5,2
19.5,2
22.6,2
22.6,2
23.5,2
20,1
20,1
12.9,2
12.9,2
17.5,2
17.5,2
16.2,1
16.2,1
17.1,2
17.1,2
15.5,2
15.5,2
16.8,1
16.8,1
25.8,1
25.8,1
19.5,1
19.5,1
16.6,2
16.6,2
30.5,1
30.5,1
17.7,1
17.7,1
12.2,2
12.2,2
18.7,1
18.7,1
19.1,2
19.1,2
16.8,2
16.8,2
9.1,2
23.4,2
23.4,2
27.6,2
27.6,2
21.5,1
21.5,1
20.2,2
20.2,2
21.6,1
21.6,1
23.4,1
14.9,1
14.9,1
23.4,1
21.1,2
21.1,2
18.9,2
18.9,2
25.2,2
25.2,2
14.5,2
14.5,2
26.4,1
26.4,1
28.1,1
28.1,1
22.8,2
22.8,2
15,2
15,2
13.3,2
19.4,1
19.4,1
17.3,2
17.3,2
13,2
13,2
22.5,2
22.5,2
19.2,2
15.1,2
15.1,2
22.1,2
22.1,2
25.9,2
25.9,2
22.5,1
22.5,1
24.4,1
24.4,1
25.7,2
25.7,2
15,2
15,2
20,1
20,1
25.8,1
25.8,1
17.5,1
17.5,1
10.4,2
20.2,2
20.2,2
19.9,1
19.9,1
17.3,1
17.3,1
14.3,2
14.3,2
22.4,1
17.6,2
22.4,1
19.7,1
19.7,1
21.7,2
21.7,2
27.6,1
27.6,1
21.6,2
21.6,2
17.8,2
17.8,2
18.5,2
18.5,2
16,2
16,2
16.2,2
16.2,2
14,2
16.2,1
14,2
16.2,1
24.4,1
24.4,1
24.7,1
24.7,1
16.2,2
16.2,2
21.6,1
21.6,1
23.1,1
23.1,1
14.9,2
14.9,2
26.5,1
26.5,1
19.3,2
19.3,2
17.7,2
18.1,2
18.1,2
20.4,2
20.4,2
23.4,1
23.4,1
7.4,2
7.4,2
26.1,2
26.1,2
16.9,2
16.9,2
14.7,2
14.7,2
16.7,2
16.7,2
16.7,2
16.7,2
20,2
20,2
15,2
22.9,1
22.9,1
15,2
17.6,2
17.6,2
15.3,2
15.3,2
14.8,2
14.8,2
12.8,2
12.8,2
17.5,1
17.5,1
11.7,2
11.7,2
21.1,2
21.1,2
22,2
22,2
16.6,2
16.6,2
18.4,2
18.4,2
13.2,2
13.2,2
21.1,2
14.5,2
14.5,2
16.1,1
16.1,1
22,1
22,1
26.9,1
26.9,1
14,2
14,2
12.7,2
12.7,2
29.5,1
29.5,1
18.8,1
18.8,1
15.5,1
15.5,1
18.5,1
18.5,1
25.6,2
25.6,2
23.2,1
23.2,1
13.2,2
13.2,2
14.7,2
14.7,2
24.3,1
24.3,1
17.3,2
17.3,2
23.7,1
23.7,1
15.7,1
15.7,1
22,1
22,1
16,2
16,2
17.1,2
17.1,2
18.5,1
18.5,1
19.3,1
19.3,1
12.1,2
12.1,2
8,2
8,2
15.4,2
21,1
21,1
15.4,2
15.1,1
15.1,1
21,1
21,1
15,2
15,2
10.8,2
10.8,2
18.2,2
18.2,2
18.9,2
18.9,2
23.4,1
23.4,1
15.8,2
15.8,2
18.4,2
18.4,2
13.6,2
13.6,2
15.8,1
15.8,1
20.7,2
12.6,2
12.6,2
20,1
20,1
13.9,2
13.9,2
17.4,2
17.4,2
16.1,2
16.1,2
16.3,2
16.3,2
31.6,1
31.6,1
15.5,1
15.5,1
27.2,1
27.2,1
26,1
26,1
12,2
12,2
22.4,1
22.4,1
17.3,2
17.3,2
20.6,1
20.6,1
16,2
16,2
28.4,1
28.4,1
19.2,2
19.2,2
21.2,1
21.2,1
19.2,2
19.2,2
16.3,2
16.3,2
17,1
17,1
6.8,2
6.8,2
24.9,1
24.9,1
15.9,2
15.9,2
18.5,2
18.5,2
18.4,2
18.4,2
6.7,2
6.7,2
22.6,1
22.6,1
19.4,2
19.4,2
22.2,1
22.2,1
30.6,1
30.6,1
17.4,1
17.4,1
17.7,1
17.7,1
16.5,2
16.5,2
18.7,2
18.7,2
16.4,1
16.4,1
16.3,1
16.3,1
10.9,2
10.9,2
15.8,2
15.8,2
23.6,2
23.6,2
9.4,2
9.4,2
15.8,2
15.8,2
23.9,2
23.9,2
20.5,2
20.5,2
22.4,2
17.5,2
17.5,2
19.9,2
19.9,2
9.2,2
9.2,2
15.4,2
15.4,2
15,2
16.6,1
16.6,1
17.9,2
17.9,2
20.5,1
20.5,1
18.8,2
18.8,2
21.8,2
21.8,2
16.5,2
16.5,2
11.6,2
11.6,2
20.7,2
20.7,2
18.4,1
18.4,1
21.8,2
21.8,2
21.3,2
21.3,2
25,1
25,1
20,2
20,2
20.4,2
20.4,2
18.4,2
18.4,2
19.9,2
19.9,2
19.4,2
19.4,2
16.9,1
16.9,1
23.8,1
23.8,1
23,1
23,1
16.6,1
16.6,1
11,2
16.5,2
11,2
16.5,2
21,2
21,2
20.6,2
20.6,2
10.9,2
10.9,2
23.5,1
23.5,1
13.1,2
13.1,2
21.6,1
21.6,1
21.7,1
21.7,1
19,2
19,2
9.4,2
9.4,2
19.8,1
19.8,1
15.4,2
15.4,2
18,1
18,1
12.4,2
12.4,2
16.6,2
16.6,2
13.5,2
13.5,2
16.5,2
16.5,2
14.7,2
14.7,2
18.2,2
18.2,2
19.4,2
19.4,2
12.6,2
12.6,2
20.7,1
20.7,1
20,2
20,2
11.9,2
11.9,2
26.2,1
26.2,1
18.7,1
18.7,1
14.9,1
14.9,1
20.1,2
20.1,2
24.5,1
24.5,1
21,1
21,1
9.5,2
9.5,2
13.9,2
13.9,2
18.6,2
18.6,2
14.5,2
14.5,2
22.7,2
22.7,2
16.3,2
16.3,2
17.5,1
17.5,1
14.1,1
14.1,1
23.2,1
23.2,1
14.3,2
14.3,2
23.6,1
23.6,1
27.2,1
27.2,1
24.1,1
24.1,1
7.8,2
7.8,2
22.9,1
22.9,1
24.5,1
24.5,1
19.3,2
19.3,2
21.8,1
21.8,1
15.7,1
15.7,1
17.3,1
17.3,1
20.1,1
20.1,1
15.8,2
15.8,2
17.2,2
17.2,2
12,2
12,2
13.6,1
13.6,1
12.7,2
14.8,1
14.8,1
16.8,2
22.6,1
22.6,1
16.8,2
23.5,1
23.5,1
17.3,1
17.3,1
23.1,1
23.1,1
13.6,2
16.8,1
16.8,1
21.1,1
21.1,1
15.3,2
15.3,2
24.1,1
24.1,1
21.8,1
21.8,1
16.1,1
16.1,1
23.5,1
23.5,1
21.1,1
21.1,1
23.4,1
23.4,1
18.9,2
18.9,2
16.9,1
16.9,1
18.2,2
18.2,2
17.8,1
17.8,1
22,2
22,2
19.2,2
19.2,2
16.1,1
16.1,1
17.5,1
17.5,1
22.2,2
22.2,2
11,1
11,1
16.7,2
16.7,2
23.3,2
23.3,2
17.5,1
17.5,1
18.3,1
18.3,1
12.6,2
12.6,2
16.6,2
16.6,2
17.8,1
17.8,1
16.3,1
16.3,1
15.4,2
15.4,2
18.8,2
18.8,2
19.4,1
19.4,1
22.4,2
22.4,2
19.1,2
19.1,2
16.5,2
16.5,2
14.4,2
14.4,2
11.9,2
11.9,2
26.2,1
26.2,1
21.8,1
21.8,1
21.7,2
21.7,2
14.6,2
14.6,2
19.1,2
19.1,2
22.4,1
22.4,1
21.7,2
21.7,2
10.4,1
10.4,1
17.7,1
17.7,1
13.7,2
13.7,2
24.7,1
24.7,1
13.8,1
13.8,1
25.4,1
25.4,1
21,2
21,2
17.8,1
17.8,1
13.7,2
13.7,2
21,2
21,2
19.2,1
19.2,1
21.7,1
21.7,1
25.8,1
25.8,1
14.1,2
14.1,2
18.7,1
18.7,1
16.7,2
16.7,2
10.4,1
10.4,1
11.2,1
11.2,1
25.1,1
25.1,1
11.9,1
11.9,1
21.6,2
21.6,2
23.8,2
23.8,2
17.8,2
17.8,2
7.5,2
7.5,2
22.3,1
22.3,1
18.1,2
18.1,2
6.8,2
6.8,2
22.1,1
11.2,2
22.1,1
14.4,2
14.4,2
16.2,2
16.2,2
16.9,2
16.9,2
16,1
16,1
16.6,2
16.6,2
17.5,1
17.5,1
17.3,2
17.3,2
17.3,2
17.3,2
13.1,2
13.1,2
24.7,1
24.7,1
14.3,2
14.3,2
24.3,2
24.3,2
17.5,1
17.5,1
19,2
19,2
25.5,2
25.5,2
16.9,1
16.9,1
14.3,2
14.3,2
7.8,2
7.8,2
8.2,2
8.2,2
17.1,1
17.1,1
14.1,1
14.1,1
15.2,1
15.2,1
12.7,2
12.7,2
18.2,1
18.2,1
15.5,2
15.5,2
11.9,1
11.9,1
19,1
19,1
16.3,2
16.3,2
18.2,2
18.2,2
18,2
18,2
19.5,1
19.2,1
19.5,1
19.2,1
23.6,1
23.6,1
13.8,2
13.8,2
23.5,1
23.5,1
11.5,2
11.5,2
17.8,2
17.8,2
14.8,1
14.8,1
18.7,1
18.7,1
7.1,2
7.1,2
10.8,2
10.8,2
21.3,1
21.3,1
13.5,1
13.5,1
21.8,2
21.8,2
14.8,1
14.8,1
21,2
21,2
16.7,1
16.7,1
16.9,2
16.9,2
21.4,2
21.4,2
8.3,2
8.3,2
16.7,1
16.7,1
19.4,1
19.4,1
7,2
7,2
24,2
24,2
20.4,2
20.4,2
11.4,2
11.4,2
18.8,1
18.8,1
9.1,2
9.1,2
19.1,1
19.1,1
20.3,1
20.3,1
21.1,2
21.1,2
12,2
12,2
12.1,2
12.1,2
24.2,2
24.2,2
15.5,2
15.5,2
15.2,1
15.2,1
18.9,2
18.9,2
17.7,1
17.7,1
19.1,2
19.1,2
18.1,2
18.1,2
16,1
16,1
22.8,2
22.8,2
10.9,2
10.9,2
18.8,2
18.8,2
14.3,2
14.3,2
17.2,2
17.2,2
16.4,2
16.4,2
17.5,1
17.5,1
13.1,2
13.1,2
18.2,2
18.2,2
17.4,2
17.4,2
16,2
16,2
20.4,2
20.4,2
18.6,2
18.6,2
18.6,1
18.6,1
15.7,2
15.7,2
18.7,2
18.7,2
11.5,2
11.5,2
18.7,1
18.7,1
10.9,2
10.9,2
11.5,2
11.5,2
21.5,2
21.5,2
16.2,1
16.2,1
16.2,2
16.2,2
11.3,2
11.3,2
19.6,2
19.6,2
16.3,2
16.3,2
18.3,1
18.3,1
21.2,1
21.2,1
11.2,1
11.2,1
16.4,1
16.4,1
10.6,2
10.6,2
12.9,2
12.9,2
16.6,1
16.6,1
19.8,1
19.8,1
16,2
16,2
24.6,2
24.6,2
21.5,2
21.5,2
22.6,2
22.6,2
14.6,2
14.6,2
13.6,2
13.6,2
14.2,2
14.2,2
8.8,2
8.8,2
20.2,2
20.2,2
12.2,2
12.2,2
19.9,2
19.9,2
26.1,2
26.1,2
20.5,2
20.5,2
25.2,2
25.2,2
9.2,2
9.2,2
17.7,2
17.7,2
26.6,2
26.6,2
9.6,2
9.6,2
19.3,2
19.3,2
12.6,2
12.6,2
14,1
14,1
19,2
19,2
18.3,2
18.3,2
15.6,1
15.6,1
17.9,1
17.9,1
19.2,2
19.2,2
16.4,2
16.4,2
13.9,2
13.9,2
17.6,1
17.6,1
13.4,2
13.4,2
17.3,1
17.3,1
18.4,1
18.4,1
22.3,2
22.3,2
16.9,2
16.9,2
13.5,2
13.5,2
12.6,2
12.6,2
16.7,2
16.7,2
20.2,2
20.2,2
11.9,2
11.9,2
11.9,2
11.9,2
21.3,2
21.3,2
19.1,2
19.1,2
16.6,1
16.6,1
14.9,2
14.9,2
13.7,2
13.7,2
8.2,2
8.2,2
15.2,2
15.2,2
14.5,2
14.5,2
20.7,2
20.7,2
16.3,1
16.3,1
21.4,1
21.4,1
16.7,2
16.7,2
20.6,2
20.6,2
16.8,1
16.8,1
12.8,2
12.8,2
24.6,1
24.6,1
12.9,2
12.9,2
14.5,2
14.5,2
23.2,1
23.2,1
18,1
18,1
15.4,2
15.4,2
10.1,2
10.1,2
13.9,2
13.9,2
12.4,2
12.4,2
19.7,1
19.7,1
13.5,2
13.5,2
13.9,2
13.9,2
14.7,2
14.7,2
12.8,2
12.8,2
14.8,2
14.8,2
17,2
17,2
12.5,2
12.5,2
15.7,2
15.7,2
16.2,2
16.2,2
13.4,2
13.4,2
12.9,2
12.9,2
14.6,2
14.6,2
14.8,2
14.8,2
15,2
15,2
18.8,1
18.8,1
14.6,2
14.6,2
18.5,1
18.5,1
22.3,1
22.3,1
11.3,2
11.3,2
18.3,1
18.3,1
19.3,1
19.3,1
15.8,2
15.8,2
17.2,2
17.2,2
22.1,1
22.1,1
11.9,2
11.9,2
10,2
10,2
16.4,2
16.4,2
18.1,2
18.1,2
19.7,2
19.7,2
13.5,2
13.5,2
16.1,2
16.1,2
16.2,2
16.2,2
14.8,2
14.8,2
19.5,2
19.5,2
19.5,1
19.5,1
17.8,2
17.8,2
16.9,2
16.9,2
16.7,1
16.7,1
17.8,1
17.8,1
17.9,2
17.9,2
15,1
15,1
10.9,2
10.9,2
11.9,2
11.9,2
14.4,2
14.4,2
13.3,2
13.3,2
